"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Communication","Communication","","","",0,*,"","","","null {[]} {[]}
","Communication","A communication event related to the care plan","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Communication.refersTo","Communication.refersTo","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The patient this plan element pertains to","The patient this plan element pertains to","","","","","","","","","",,,,,"",,,,"PlanElement.refersTo",1,1,"",""
"Communication.hasAuthor","Communication.hasAuthor","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/CareTeamMember]]}
","Who authored this plan element","Who authored this plan element","","","","","","","","","",,,,,"",,,,"PlanElement.hasAuthor",1,*,"",""
"Communication.contains","Communication.contains","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/CarePlanManifestation]]}
","The care plan manifestation containing this element","The care plan manifestation containing this element","","","","","","","","","",,,,,"",,,,"PlanElement.contains",0,1,"",""
"Communication.time","Communication.time","","","",1,1,"","","","dateTime {[]} {[]}
","When the communication occurred","When the communication occurred","","","","","","","","","",,,,,"",,,,"Communication.time",1,1,"",""
"Communication.content","Communication.content","","","",1,1,"","","","base64Binary {[]} {[]}
","Content of the communication","Content of the communication","","","","","","","","","",,,,,"",,,,"Communication.content",1,1,"",""
"Communication.topic","Communication.topic","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Topic of the communication","Topic of the communication","","","","","","","","","",,,,,"",,,,"Communication.topic",1,1,"",""
"Communication.refersToElements","Communication.refersToElements","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/PlanElement]]}
","Plan elements referenced in this communication","Plan elements referenced in this communication","","","","","","","","","",,,,,"",,,,"Communication.refersToElements",0,*,"",""
"Communication.communicationAuthor","Communication.communicationAuthor","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/CareTeamMember]]}
","Who authored the communication","Who authored the communication","","","","","","","","","",,,,,"",,,,"Communication.communicationAuthor",1,1,"",""
"Communication.recipient","Communication.recipient","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/CareTeamMember]]}
","Recipients of the communication","Recipients of the communication","","","","","","","","","",,,,,"",,,,"Communication.recipient",1,*,"",""
"Communication.thread","Communication.thread","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/CommunicationThread]]}
","Thread this communication belongs to","Thread this communication belongs to","","","","","","","","","",,,,,"",,,,"Communication.thread",0,1,"",""
